Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
2002,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,565.6700992
2002,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,625.0527292
2002,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,615.1590023
2003,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,592.6188514
2003,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,610.6006779
2003,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,682.5455391
2003,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,666.7282895
2004,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,645.2692932
2004,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,639.6889325
2004,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,709.84997
2004,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,716.0158046
2005,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,706.0631445
2005,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,715.593474
2005,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,787.8990284
2005,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,813.1243763
2006,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,811.4304586
2006,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,831.395286
2006,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,936.6411065
2006,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,966.4549657
2007,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,985.7013081
2007,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1045.962325
2007,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1192.637324
2007,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1222.660757
2008,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1219.244528
2008,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1178.243979
2008,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1262.917019
2008,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1370.093513
2009,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1382.029
2009,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1447.24
2009,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1570.067
2009,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1567.085
2010,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1582.438
2010,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1576.708
2010,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1644.016
2010,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1628.936
2011,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1610.771
2011,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1637.071
2011,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1630.493
2011,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1552.386
2012,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1465.621
2012,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1429.863
2012,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1573.424
2012,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1575.398
2013,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1550.106
2013,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1602.303
2013,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1682.723
2013,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1695.687
2014,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1614.701
2014,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1621.427
2014,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1672.703
2014,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1686.525
2015,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1631.15
2015,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1651.573
2015,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1654.927
2015,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1709.497
2016,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1688.915
2016,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1711.494
2016,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1741.336
2016,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1743.485
2017,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1742.739
2017,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1738.731
2017,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1781.506
2017,Q4 Jun-Aug,"Food, seed, and industrial use",Corn,United States,Million bushels,1793.546
2018,Q1 Sep-Nov,"Food, seed, and industrial use",Corn,United States,Million bushels,1711.699
2018,Q2 Dec-Feb,"Food, seed, and industrial use",Corn,United States,Million bushels,1639.996
2018,Q3 Mar-May,"Food, seed, and industrial use",Corn,United States,Million bushels,1713.139
