Program,Year,Period,GeoLevel,State,StateANSI,Commodity,DataItem,Domain,DomainCategory,Value
SURVEY,2018,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"15,000"
SURVEY,2018,YEAR,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"645,000"
SURVEY,2018,YEAR,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"65,000"
SURVEY,2018,YEAR,STATE,COLORADO,8,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,200,000"
SURVEY,2018,YEAR,STATE,DELAWARE,10,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"166,000"
SURVEY,2018,YEAR,STATE,FLORIDA,12,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"65,000"
SURVEY,2018,YEAR,STATE,GEORGIA,13,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"285,000"
SURVEY,2018,YEAR,STATE,IDAHO,16,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"135,000"
SURVEY,2018,YEAR,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,850,000"
SURVEY,2018,YEAR,STATE,INDIANA,18,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,200,000"
SURVEY,2018,YEAR,STATE,IOWA,19,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"12,800,000"
SURVEY,2018,YEAR,STATE,KANSAS,20,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,000,000"
SURVEY,2018,YEAR,STATE,KENTUCKY,21,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,230,000"
SURVEY,2018,YEAR,STATE,LOUISIANA,22,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"450,000"
SURVEY,2018,YEAR,STATE,MARYLAND,24,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"390,000"
SURVEY,2018,YEAR,STATE,MICHIGAN,26,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,940,000"
SURVEY,2018,YEAR,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,490,000"
SURVEY,2018,YEAR,STATE,MISSISSIPPI,28,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"465,000"
SURVEY,2018,YEAR,STATE,MISSOURI,29,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,330,000"
SURVEY,2018,YEAR,STATE,MONTANA,30,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"68,000"
SURVEY,2018,YEAR,STATE,NEBRASKA,31,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,310,000"
SURVEY,2018,YEAR,STATE,NEW JERSEY,34,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"61,000"
SURVEY,2018,YEAR,STATE,NEW MEXICO,35,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"35,000"
SURVEY,2018,YEAR,STATE,NEW YORK,36,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"645,000"
SURVEY,2018,YEAR,STATE,NORTH CAROLINA,37,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"830,000"
SURVEY,2018,YEAR,STATE,NORTH DAKOTA,38,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,930,000"
SURVEY,2018,YEAR,STATE,OHIO,39,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,300,000"
SURVEY,2018,YEAR,STATE,OKLAHOMA,40,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"280,000"
SURVEY,2018,YEAR,STATE,OREGON,41,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"45,000"
SURVEY,2018,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,0
SURVEY,2018,YEAR,STATE,PENNSYLVANIA,42,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"950,000"
SURVEY,2018,YEAR,STATE,SOUTH CAROLINA,45,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"310,000"
SURVEY,2018,YEAR,STATE,SOUTH DAKOTA,46,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,860,000"
SURVEY,2018,YEAR,STATE,TENNESSEE,47,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"690,000"
SURVEY,2018,YEAR,STATE,TEXAS,48,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,750,000"
SURVEY,2018,YEAR,STATE,UTAH,49,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"22,000"
SURVEY,2018,YEAR,STATE,VIRGINIA,51,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"325,000"
SURVEY,2018,YEAR,STATE,WASHINGTON,53,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"85,000"
SURVEY,2018,YEAR,STATE,WEST VIRGINIA,54,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"33,000"
SURVEY,2018,YEAR,STATE,WISCONSIN,55,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,170,000"
SURVEY,2018,YEAR,STATE,WYOMING,56,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"70,000"
SURVEY,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"235,000"
SURVEY,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"32,000"
SURVEY,2017,YEAR,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"595,000"
SURVEY,2017,YEAR,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"80,000"
SURVEY,2017,YEAR,STATE,COLORADO,8,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,300,000"
SURVEY,2017,YEAR,STATE,DELAWARE,10,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"171,000"
SURVEY,2017,YEAR,STATE,FLORIDA,12,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"37,000"
SURVEY,2017,YEAR,STATE,GEORGIA,13,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"245,000"
SURVEY,2017,YEAR,STATE,IDAHO,16,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"115,000"
SURVEY,2017,YEAR,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"10,950,000"
SURVEY,2017,YEAR,STATE,INDIANA,18,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,200,000"
SURVEY,2017,YEAR,STATE,IOWA,19,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"12,900,000"
SURVEY,2017,YEAR,STATE,KANSAS,20,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,200,000"
SURVEY,2017,YEAR,STATE,KENTUCKY,21,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,220,000"
SURVEY,2017,YEAR,STATE,LOUISIANA,22,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"490,000"
SURVEY,2017,YEAR,STATE,MARYLAND,24,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"420,000"
SURVEY,2017,YEAR,STATE,MICHIGAN,26,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,890,000"
SURVEY,2017,YEAR,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"7,630,000"
SURVEY,2017,YEAR,STATE,MISSISSIPPI,28,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"500,000"
SURVEY,2017,YEAR,STATE,MISSOURI,29,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,250,000"
SURVEY,2017,YEAR,STATE,MONTANA,30,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"65,000"
SURVEY,2017,YEAR,STATE,NEBRASKA,31,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,300,000"
SURVEY,2017,YEAR,STATE,NEW JERSEY,34,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"70,000"
SURVEY,2017,YEAR,STATE,NEW MEXICO,35,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"43,000"
SURVEY,2017,YEAR,STATE,NEW YORK,36,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"485,000"
SURVEY,2017,YEAR,STATE,NORTH CAROLINA,37,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"840,000"
SURVEY,2017,YEAR,STATE,NORTH DAKOTA,38,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,230,000"
SURVEY,2017,YEAR,STATE,OHIO,39,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,150,000"
SURVEY,2017,YEAR,STATE,OKLAHOMA,40,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"305,000"
SURVEY,2017,YEAR,STATE,OREGON,41,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"44,000"
SURVEY,2017,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,0
SURVEY,2017,YEAR,STATE,PENNSYLVANIA,42,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"920,000"
SURVEY,2017,YEAR,STATE,SOUTH CAROLINA,45,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"325,000"
SURVEY,2017,YEAR,STATE,SOUTH DAKOTA,46,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,080,000"
SURVEY,2017,YEAR,STATE,TENNESSEE,47,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"710,000"
SURVEY,2017,YEAR,STATE,TEXAS,48,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,240,000"
SURVEY,2017,YEAR,STATE,UTAH,49,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"20,000"
SURVEY,2017,YEAR,STATE,VIRGINIA,51,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"340,000"
SURVEY,2017,YEAR,STATE,WASHINGTON,53,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"80,000"
SURVEY,2017,YEAR,STATE,WEST VIRGINIA,54,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"33,000"
SURVEY,2017,YEAR,STATE,WISCONSIN,55,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,930,000"
SURVEY,2017,YEAR,STATE,WYOMING,56,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"63,000"
SURVEY,2016,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"315,000"
SURVEY,2016,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"50,000"
SURVEY,2016,YEAR,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"745,000"
SURVEY,2016,YEAR,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"100,000"
SURVEY,2016,YEAR,STATE,COLORADO,8,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,170,000"
SURVEY,2016,YEAR,STATE,DELAWARE,10,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"164,000"
SURVEY,2016,YEAR,STATE,FLORIDA,12,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"40,000"
SURVEY,2016,YEAR,STATE,GEORGIA,13,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"340,000"
SURVEY,2016,YEAR,STATE,IDAHO,16,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"100,000"
SURVEY,2016,YEAR,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"11,450,000"
SURVEY,2016,YEAR,STATE,INDIANA,18,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,470,000"
SURVEY,2016,YEAR,STATE,IOWA,19,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"13,500,000"
SURVEY,2016,YEAR,STATE,KANSAS,20,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"4,920,000"
SURVEY,2016,YEAR,STATE,KENTUCKY,21,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"1,400,000"
SURVEY,2016,YEAR,STATE,LOUISIANA,22,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"550,000"
SURVEY,2016,YEAR,STATE,MARYLAND,24,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"400,000"
SURVEY,2016,YEAR,STATE,MICHIGAN,26,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,040,000"
SURVEY,2016,YEAR,STATE,MINNESOTA,27,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"8,000,000"
SURVEY,2016,YEAR,STATE,MISSISSIPPI,28,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"720,000"
SURVEY,2016,YEAR,STATE,MISSOURI,29,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,500,000"
SURVEY,2016,YEAR,STATE,MONTANA,30,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"55,000"
SURVEY,2016,YEAR,STATE,NEBRASKA,31,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"9,550,000"
SURVEY,2016,YEAR,STATE,NEW JERSEY,34,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"71,000"
SURVEY,2016,YEAR,STATE,NEW MEXICO,35,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"41,000"
SURVEY,2016,YEAR,STATE,NEW YORK,36,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"570,000"
SURVEY,2016,YEAR,STATE,NORTH CAROLINA,37,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"940,000"
SURVEY,2016,YEAR,STATE,NORTH DAKOTA,38,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,270,000"
SURVEY,2016,YEAR,STATE,OHIO,39,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,300,000"
SURVEY,2016,YEAR,STATE,OKLAHOMA,40,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"350,000"
SURVEY,2016,YEAR,STATE,OREGON,41,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"39,000"
SURVEY,2016,YEAR,STATE,OTHER STATES,,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,0
SURVEY,2016,YEAR,STATE,PENNSYLVANIA,42,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"950,000"
SURVEY,2016,YEAR,STATE,SOUTH CAROLINA,45,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"350,000"
SURVEY,2016,YEAR,STATE,SOUTH DAKOTA,46,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,130,000"
SURVEY,2016,YEAR,STATE,TENNESSEE,47,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"830,000"
SURVEY,2016,YEAR,STATE,TEXAS,48,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"2,550,000"
SURVEY,2016,YEAR,STATE,UTAH,49,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"29,000"
SURVEY,2016,YEAR,STATE,VIRGINIA,51,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"340,000"
SURVEY,2016,YEAR,STATE,WASHINGTON,53,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"85,000"
SURVEY,2016,YEAR,STATE,WEST VIRGINIA,54,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"35,000"
SURVEY,2016,YEAR,STATE,WISCONSIN,55,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"3,220,000"
SURVEY,2016,YEAR,STATE,WYOMING,56,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"69,000"
SURVEY,2015,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"245,000"
SURVEY,2015,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"36,000"
SURVEY,2015,YEAR,STATE,ARKANSAS,5,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"445,000"
SURVEY,2015,YEAR,STATE,CALIFORNIA,6,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"60,000"
SURVEY,2015,YEAR,STATE,COLORADO,8,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"950,000"
SURVEY,2015,YEAR,STATE,DELAWARE,10,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"164,000"
SURVEY,2015,YEAR,STATE,FLORIDA,12,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"50,000"
SURVEY,2015,YEAR,STATE,GEORGIA,13,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"285,000"
SURVEY,2015,YEAR,STATE,IDAHO,16,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"70,000"
SURVEY,2015,YEAR,STATE,ILLINOIS,17,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"11,500,000"
SURVEY,2015,YEAR,STATE,INDIANA,18,CORN,"CORN, GRAIN - ACRES HARVESTED",TOTAL,NOT SPECIFIED,"5,480,000"
