Year,Geo Level ,State,Commodity,Unit,Corn_For_Food_Amount,Corn_Residual_Amount,Corn_Prices,Corn_Yield_Per_Acre,Corn_Alcohol_Usage,Grain_Production_Amount,CV(%)
2005,NATIONAL,-,Corn,Million bushels,787.8990284,0,0,0,0,0,0
2005,NATIONAL,-,Corn,Million bushels,813.1243763,0,0,0,0,0,0
2006,NATIONAL,-,Corn,Million bushels,811.4304586,0,0,0,0,0,0
2006,NATIONAL,-,Corn,Million bushels,831.395286,0,0,0,0,0,0
2006,NATIONAL,-,Corn,Million bushels,936.6411065,0,0,0,0,0,0
2006,NATIONAL,-,Corn,Million bushels,966.4549657,0,0,0,0,0,0
2007,NATIONAL,-,Corn,Million bushels,985.7013081,0,0,0,0,0,0
2007,NATIONAL,-,Corn,Million bushels,1045.962325,0,0,0,0,0,0
2007,NATIONAL,-,Corn,Million bushels,1192.637324,0,0,0,0,0,0
2007,NATIONAL,-,Corn,Million bushels,1222.660757,0,0,0,0,0,0
2008,NATIONAL,-,Corn,Million bushels,1219.244528,0,0,0,0,0,0
2008,NATIONAL,-,Corn,Million bushels,1178.243979,0,0,0,0,0,0
2008,NATIONAL,-,Corn,Million bushels,1262.917019,0,0,0,0,0,0
2008,NATIONAL,-,Corn,Million bushels,1370.093513,0,0,0,0,0,0
2009,NATIONAL,-,Corn,Million bushels,1382.029,0,0,0,0,0,0
2009,NATIONAL,-,Corn,Million bushels,1447.24,0,0,0,0,0,0
2009,NATIONAL,-,Corn,Million bushels,1570.067,0,0,0,0,0,0
2009,NATIONAL,-,Corn,Million bushels,1567.085,0,0,0,0,0,0
2010,NATIONAL,-,Corn,Million bushels,1582.438,0,0,0,0,0,0
2010,NATIONAL,-,Corn,Million bushels,1576.708,0,0,0,0,0,0
2010,NATIONAL,-,Corn,Million bushels,1644.016,0,0,0,0,0,0
2010,NATIONAL,-,Corn,Million bushels,1628.936,0,0,0,0,0,0
2011,NATIONAL,-,Corn,Million bushels,1610.771,0,0,0,0,0,0
2011,NATIONAL,-,Corn,Million bushels,1637.071,0,0,0,0,0,0
2011,NATIONAL,-,Corn,Million bushels,1630.493,0,0,0,0,0,0
2011,NATIONAL,-,Corn,Million bushels,1552.386,0,0,0,0,0,0
2012,NATIONAL,-,Corn,Million bushels,1465.621,0,0,0,0,0,0
2012,NATIONAL,-,Corn,Million bushels,1429.863,0,0,0,0,0,0
2012,NATIONAL,-,Corn,Million bushels,1573.424,0,0,0,0,0,0
2012,NATIONAL,-,Corn,Million bushels,1575.398,0,0,0,0,0,0
2013,NATIONAL,-,Corn,Million bushels,1550.106,0,0,0,0,0,0
2013,NATIONAL,-,Corn,Million bushels,1602.303,0,0,0,0,0,0
2013,NATIONAL,-,Corn,Million bushels,1682.723,0,0,0,0,0,0
2013,NATIONAL,-,Corn,Million bushels,1695.687,0,0,0,0,0,0
2014,NATIONAL,-,Corn,Million bushels,1614.701,0,0,0,0,0,0
2014,NATIONAL,-,Corn,Million bushels,1621.427,0,0,0,0,0,0
2014,NATIONAL,-,Corn,Million bushels,1672.703,0,0,0,0,0,0
2014,NATIONAL,-,Corn,Million bushels,1686.525,0,0,0,0,0,0
2015,NATIONAL,-,Corn,Million bushels,1631.15,0,0,0,0,0,0
2015,NATIONAL,-,Corn,Million bushels,1651.573,0,0,0,0,0,0
2015,NATIONAL,-,Corn,Million bushels,1654.927,0,0,0,0,0,0
2015,NATIONAL,-,Corn,Million bushels,1709.497,0,0,0,0,0,0
2016,NATIONAL,-,Corn,Million bushels,1688.915,0,0,0,0,0,0
2016,NATIONAL,-,Corn,Million bushels,1711.494,0,0,0,0,0,0
2016,NATIONAL,-,Corn,Million bushels,1741.336,0,0,0,0,0,0
2016,NATIONAL,-,Corn,Million bushels,1743.485,0,0,0,0,0,0
2017,NATIONAL,-,Corn,Million bushels,1742.739,0,0,0,0,0,0
2017,NATIONAL,-,Corn,Million bushels,1738.731,0,0,0,0,0,0
2017,NATIONAL,-,Corn,Million bushels,1781.506,0,0,0,0,0,0
2017,NATIONAL,-,Corn,Million bushels,1793.546,0,0,0,0,0,0
2018,NATIONAL,-,Corn,Million bushels,1711.699,0,0,0,0,0,0
2018,NATIONAL,-,Corn,Million bushels,1639.996,0,0,0,0,0,0
2018,NATIONAL,-,Corn,Million bushels,1713.139,0,0,0,0,0,0
1975,NATIONAL,-,Corn,Million bushels,0,927.673,0,0,0,0,0
1975,NATIONAL,-,Corn,Million bushels,0,1060.361,0,0,0,0,0
1975,NATIONAL,-,Corn,Million bushels,0,912.515,0,0,0,0,0
1975,NATIONAL,-,Corn,Million bushels,0,681.211,0,0,0,0,0
1976,NATIONAL,-,Corn,Million bushels,0,936.572,0,0,0,0,0
1976,NATIONAL,-,Corn,Million bushels,0,1038.892,0,0,0,0,0
1976,NATIONAL,-,Corn,Million bushels,0,899.836,0,0,0,0,0
1976,NATIONAL,-,Corn,Million bushels,0,726.581,0,0,0,0,0
1977,NATIONAL,-,Corn,Million bushels,0,1016.577,0,0,0,0,0
1977,NATIONAL,-,Corn,Million bushels,0,1069.293,0,0,0,0,0
1977,NATIONAL,-,Corn,Million bushels,0,939.432,0,0,0,0,0
1977,NATIONAL,-,Corn,Million bushels,0,704.441,0,0,0,0,0
1978,NATIONAL,-,Corn,Million bushels,0,1160.223,0,0,0,0,0
1978,NATIONAL,-,Corn,Million bushels,0,1228.996,0,0,0,0,0
1978,NATIONAL,-,Corn,Million bushels,0,1136.449,0,0,0,0,0
1978,NATIONAL,-,Corn,Million bushels,0,748.694,0,0,0,0,0
1979,NATIONAL,-,Corn,Million bushels,0,1270.98,0,0,0,0,0
1979,NATIONAL,-,Corn,Million bushels,0,1299.23,0,0,0,0,0
1979,NATIONAL,-,Corn,Million bushels,0,1149.527,0,0,0,0,0
1979,NATIONAL,-,Corn,Million bushels,0,843.306,0,0,0,0,0
1980,NATIONAL,-,Corn,Million bushels,0,1235.721,0,0,0,0,0
1980,NATIONAL,-,Corn,Million bushels,0,1142.829,0,0,0,0,0
1980,NATIONAL,-,Corn,Million bushels,0,1092.393,0,0,0,0,0
1980,NATIONAL,-,Corn,Million bushels,0,761.195,0,0,0,0,0
1981,NATIONAL,-,Corn,Million bushels,0,1217.381,0,0,0,0,0
1981,NATIONAL,-,Corn,Million bushels,0,1199.236,0,0,0,0,0
1981,NATIONAL,-,Corn,Million bushels,0,1089.201,0,0,0,0,0
1981,NATIONAL,-,Corn,Million bushels,0,738.727,0,0,0,0,0
1982,NATIONAL,-,Corn,Million bushels,0,1215.012,0,0,0,0,0
1982,NATIONAL,-,Corn,Million bushels,0,1305.189,0,0,0,0,0
1982,NATIONAL,-,Corn,Million bushels,0,1272.274,0,0,0,0,0
1982,NATIONAL,-,Corn,Million bushels,0,780.77,0,0,0,0,0
1983,NATIONAL,-,Corn,Million bushels,0,1325.275,0,0,0,0,0
1983,NATIONAL,-,Corn,Million bushels,0,1068.82,0,0,0,0,0
1983,NATIONAL,-,Corn,Million bushels,0,954.487,0,0,0,0,0
1983,NATIONAL,-,Corn,Million bushels,0,527.68,0,0,0,0,0
1984,NATIONAL,-,Corn,Million bushels,0,1300.708,0,0,0,0,0
1984,NATIONAL,-,Corn,Million bushels,0,1191.467,0,0,0,0,0
1984,NATIONAL,-,Corn,Million bushels,0,1019.422,0,0,0,0,0
1984,NATIONAL,-,Corn,Million bushels,0,602.915,0,0,0,0,0
1985,NATIONAL,-,Corn,Million bushels,0,1218.713,0,0,0,0,0
1985,NATIONAL,-,Corn,Million bushels,0,1305.947,0,0,0,0,0
1985,NATIONAL,-,Corn,Million bushels,0,1090.542,0,0,0,0,0
1985,NATIONAL,-,Corn,Million bushels,0,498.995,0,0,0,0,0
1986,NATIONAL,-,Corn,Million bushels,0,1347.813,0,0,0,0,0
1986,NATIONAL,-,Corn,Million bushels,0,1463.15,0,0,0,0,0
1986,NATIONAL,-,Corn,Million bushels,0,1087.691,0,0,0,0,0
1986,NATIONAL,-,Corn,Million bushels,0,760.813,0,0,0,0,0
1987,NATIONAL,-,Corn,Million bushels,0,1550.856,0,0,0,0,0
1987,NATIONAL,-,Corn,Million bushels,0,1443.791,0,0,0,0,0
1987,NATIONAL,-,Corn,Million bushels,0,951.23,0,0,0,0,0
1987,NATIONAL,-,Corn,Million bushels,0,843.367,0,0,0,0,0
1988,NATIONAL,-,Corn,Million bushels,0,1343.769,0,0,0,0,0
1988,NATIONAL,-,Corn,Million bushels,0,1064.258,0,0,0,0,0
1988,NATIONAL,-,Corn,Million bushels,0,841.289,0,0,0,0,0
1988,NATIONAL,-,Corn,Million bushels,0,684.594,0,0,0,0,0
1989,NATIONAL,-,Corn,Million bushels,0,1486.722,0,0,0,0,0
1989,NATIONAL,-,Corn,Million bushels,0,1275.564,0,0,0,0,0
1989,NATIONAL,-,Corn,Million bushels,0,993.064,0,0,0,0,0
1989,NATIONAL,-,Corn,Million bushels,0,627.134,0,0,0,0,0
1990,NATIONAL,-,Corn,Million bushels,0,1618.744,0,0,0,0,0
1990,NATIONAL,-,Corn,Million bushels,0,1351.049,0,0,0,0,0
1990,NATIONAL,-,Corn,Million bushels,0,960.025,0,0,0,0,0
1990,NATIONAL,-,Corn,Million bushels,0,679.089,0,0,0,0,0
1991,NATIONAL,-,Corn,Million bushels,0,1673.65,0,0,0,0,0
1991,NATIONAL,-,Corn,Million bushels,0,1266.825,0,0,0,0,0
1991,NATIONAL,-,Corn,Million bushels,0,1041.847,0,0,0,0,0
1991,NATIONAL,-,Corn,Million bushels,0,815.591,0,0,0,0,0
1992,NATIONAL,-,Corn,Million bushels,0,1814.316,0,0,0,0,0
1992,NATIONAL,-,Corn,Million bushels,0,1401.098,0,0,0,0,0
1992,NATIONAL,-,Corn,Million bushels,0,1145.764,0,0,0,0,0
1992,NATIONAL,-,Corn,Million bushels,0,890.911,0,0,0,0,0
1993,NATIONAL,-,Corn,Million bushels,0,1701.179,0,0,0,0,0
1993,NATIONAL,-,Corn,Million bushels,0,1239.916,0,0,0,0,0
1993,NATIONAL,-,Corn,Million bushels,0,949.507,0,0,0,0,0
1993,NATIONAL,-,Corn,Million bushels,0,789.248,0,0,0,0,0
1994,NATIONAL,-,Corn,Million bushels,0,1962.546,0,0,0,0,0
1994,NATIONAL,-,Corn,Million bushels,0,1491.634,0,0,0,0,0
1994,NATIONAL,-,Corn,Million bushels,0,1159.076,0,0,0,0,0
1994,NATIONAL,-,Corn,Million bushels,0,846.405,0,0,0,0,0
1995,NATIONAL,-,Corn,Million bushels,0,1778.124,0,0,0,0,0
1995,NATIONAL,-,Corn,Million bushels,0,1343.51,0,0,0,0,0
1995,NATIONAL,-,Corn,Million bushels,0,1042.448,0,0,0,0,0
1995,NATIONAL,-,Corn,Million bushels,0,526.648,0,0,0,0,0
1996,NATIONAL,-,Corn,Million bushels,0,1884.507,0,0,0,0,0
1996,NATIONAL,-,Corn,Million bushels,0,1486.177,0,0,0,0,0
1996,NATIONAL,-,Corn,Million bushels,0,1095.467,0,0,0,0,0
1996,NATIONAL,-,Corn,Million bushels,0,808.882,0,0,0,0,0
1997,NATIONAL,-,Corn,Million bushels,0,2026.623,0,0,0,0,0
1997,NATIONAL,-,Corn,Million bushels,0,1494.932,0,0,0,0,0
1997,NATIONAL,-,Corn,Million bushels,0,1071.71,0,0,0,0,0
1997,NATIONAL,-,Corn,Million bushels,0,854.577,0,0,0,0,0
1998,NATIONAL,-,Corn,Million bushels,0,2118.172,0,0,0,0,0
1998,NATIONAL,-,Corn,Million bushels,0,1453.003,0,0,0,0,0
1998,NATIONAL,-,Corn,Million bushels,0,1089.276,0,0,0,0,0
1998,NATIONAL,-,Corn,Million bushels,0,789.361,0,0,0,0,0
1999,NATIONAL,-,Corn,Million bushels,0,2183.032,0,0,0,0,0
1999,NATIONAL,-,Corn,Million bushels,0,1521.742,0,0,0,0,0
1999,NATIONAL,-,Corn,Million bushels,0,1047.31,0,0,0,0,0
1999,NATIONAL,-,Corn,Million bushels,0,887.788,0,0,0,0,0
2000,NATIONAL,-,Corn,Million bushels,0,2125.163,0,0,0,0,0
2000,NATIONAL,-,Corn,Million bushels,0,1601.966,0,0,0,0,0
2000,NATIONAL,-,Corn,Million bushels,0,1144.723,0,0,0,0,0
2000,NATIONAL,-,Corn,Million bushels,0,947.05,0,0,0,0,0
2001,NATIONAL,-,Corn,Million bushels,0,2194.268,0,0,0,0,0
2001,NATIONAL,-,Corn,Million bushels,0,1537.61,0,0,0,0,0
2001,NATIONAL,-,Corn,Million bushels,0,1159.633,0,0,0,0,0
2001,NATIONAL,-,Corn,Million bushels,0,953.684,0,0,0,0,0
2002,NATIONAL,-,Corn,Million bushels,0,1982.563,0,0,0,0,0
2002,NATIONAL,-,Corn,Million bushels,0,1554.296,0,0,0,0,0
2002,NATIONAL,-,Corn,Million bushels,0,1133.64,0,0,0,0,0
2002,NATIONAL,-,Corn,Million bushels,0,874.037,0,0,0,0,0
2003,NATIONAL,-,Corn,Million bushels,0,2160.484,0,0,0,0,0
2003,NATIONAL,-,Corn,Million bushels,0,1569.345,0,0,0,0,0
2003,NATIONAL,-,Corn,Million bushels,0,1159.002,0,0,0,0,0
2003,NATIONAL,-,Corn,Million bushels,0,888.808,0,0,0,0,0
2004,NATIONAL,-,Corn,Million bushels,0,2168.659,0,0,0,0,0
2004,NATIONAL,-,Corn,Million bushels,0,1618.961,0,0,0,0,0
2004,NATIONAL,-,Corn,Million bushels,0,1301.264,0,0,0,0,0
2004,NATIONAL,-,Corn,Million bushels,0,1042.765,0,0,0,0,0
2005,NATIONAL,-,Corn,Million bushels,0,2229.923,0,0,0,0,0
2005,NATIONAL,-,Corn,Million bushels,0,1639.028,0,0,0,0,0
2005,NATIONAL,-,Corn,Million bushels,0,1279.491,0,0,0,0,0
2005,NATIONAL,-,Corn,Million bushels,0,962.87,0,0,0,0,0
2006,NATIONAL,-,Corn,Million bushels,0,2159.36,0,0,0,0,0
2006,NATIONAL,-,Corn,Million bushels,0,1521.752,0,0,0,0,0
2006,NATIONAL,-,Corn,Million bushels,0,1108.372,0,0,0,0,0
2006,NATIONAL,-,Corn,Million bushels,0,745.844,0,0,0,0,0
2007,NATIONAL,-,Corn,Million bushels,0,2386.76,0,0,0,0,0
2007,NATIONAL,-,Corn,Million bushels,0,1734.113,0,0,0,0,0
2007,NATIONAL,-,Corn,Million bushels,0,1064.353,0,0,0,0,0
2007,NATIONAL,-,Corn,Million bushels,0,667.803,0,0,0,0,0
2008,NATIONAL,-,Corn,Million bushels,0,1930.03,0,0,0,0,0
2008,NATIONAL,-,Corn,Million bushels,0,1572.89,0,0,0,0,0
2008,NATIONAL,-,Corn,Million bushels,0,941.928,0,0,0,0,0
2008,NATIONAL,-,Corn,Million bushels,0,683.279,0,0,0,0,0
2009,NATIONAL,-,Corn,Million bushels,0,1990.077,0,0,0,0,0
2009,NATIONAL,-,Corn,Million bushels,0,1341.241,0,0,0,0,0
2009,NATIONAL,-,Corn,Million bushels,0,1268.128,0,0,0,0,0
2009,NATIONAL,-,Corn,Million bushels,0,496.13,0,0,0,0,0
2010,NATIONAL,-,Corn,Million bushels,0,2047.327,0,0,0,0,0
2010,NATIONAL,-,Corn,Million bushels,0,1562.416,0,0,0,0,0
2010,NATIONAL,-,Corn,Million bushels,0,709.088,0,0,0,0,0
2010,NATIONAL,-,Corn,Million bushels,0,451.287,0,0,0,0,0
2011,NATIONAL,-,Corn,Million bushels,0,1781.86,0,0,0,0,0
2011,NATIONAL,-,Corn,Million bushels,0,1546.195,0,0,0,0,0
2011,NATIONAL,-,Corn,Million bushels,0,857.408,0,0,0,0,0
2011,NATIONAL,-,Corn,Million bushels,0,326.606,0,0,0,0,0
2012,NATIONAL,-,Corn,Million bushels,0,2059.698,0,0,0,0,0
2012,NATIONAL,-,Corn,Million bushels,0,1087.335,0,0,0,0,0
2012,NATIONAL,-,Corn,Million bushels,0,914.64,0,0,0,0,0
2012,NATIONAL,-,Corn,Million bushels,0,246.966,0,0,0,0,0
2013,NATIONAL,-,Corn,Million bushels,0,2313.517,0,0,0,0,0
2013,NATIONAL,-,Corn,Million bushels,0,1457.983,0,0,0,0,0
2013,NATIONAL,-,Corn,Million bushels,0,846.908,0,0,0,0,0
2013,NATIONAL,-,Corn,Million bushels,0,385.769,0,0,0,0,0
2014,NATIONAL,-,Corn,Million bushels,0,2226.897,0,0,0,0,0
2014,NATIONAL,-,Corn,Million bushels,0,1445.998,0,0,0,0,0
2014,NATIONAL,-,Corn,Million bushels,0,1094.289,0,0,0,0,0
2014,NATIONAL,-,Corn,Million bushels,0,520.256,0,0,0,0,0
2015,NATIONAL,-,Corn,Million bushels,0,2178.498,0,0,0,0,0
2015,NATIONAL,-,Corn,Million bushels,0,1437.843,0,0,0,0,0
2015,NATIONAL,-,Corn,Million bushels,0,914.201,0,0,0,0,0
2015,NATIONAL,-,Corn,Million bushels,0,587.312,0,0,0,0,0
2016,NATIONAL,-,Corn,Million bushels,0,2278.852,0,0,0,0,0
2016,NATIONAL,-,Corn,Million bushels,0,1523.15,0,0,0,0,0
2016,NATIONAL,-,Corn,Million bushels,0,981.553,0,0,0,0,0
2016,NATIONAL,-,Corn,Million bushels,0,686.089,0,0,0,0,0
2017,NATIONAL,-,Corn,Million bushels,0,2255.701,0,0,0,0,0
2017,NATIONAL,-,Corn,Million bushels,0,1497.291,0,0,0,0,0
2017,NATIONAL,-,Corn,Million bushels,0,951.067,0,0,0,0,0
2017,NATIONAL,-,Corn,Million bushels,0,600.241,0,0,0,0,0
2018,NATIONAL,-,Corn,Million bushels,0,2285.984,0,0,0,0,0
2018,NATIONAL,-,Corn,Million bushels,0,1194.797,0,0,0,0,0
2018,NATIONAL,-,Corn,Million bushels,0,1113.619,0,0,0,0,0
2019,STATE,ALABAMA,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,3.99,0,0,0,0
2019,STATE,ALASKA,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,0,0,0,0,0
2019,STATE,ARIZONA,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,0,0,0,0,0
2019,STATE,ARKANSAS,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,3.83,0,0,0,0
2019,STATE,CALIFORNIA,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,0,0,0,0,0
2019,STATE,COLORADO,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,3.59,0,0,0,0
2019,STATE,CONNECTICUT,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,0,0,0,0,0
2019,STATE,DELAWARE,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,0,0,0,0,0
2019,STATE,FLORIDA,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,0,0,0,0,0
2019,STATE,GEORGIA,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,0,0,0,0,0
2019,STATE,HAWAII,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,0,0,0,0,0
2019,STATE,IDAHO,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,4.48,0,0,0,0
2019,STATE,ILLINOIS,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,3.58,0,0,0,0
2019,STATE,INDIANA,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,3.76,0,0,0,0
2019,STATE,IOWA,,"CORN, GRAIN - PRICE RECEIVED, MEASURED IN $ / BU",0,0,3.52,0,0,0,0
