Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
2010,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,709.09
2010,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,451.29
2011,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,1781.86
2011,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1546.20
2011,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,857.41
2011,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,326.61
2012,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2059.70
2012,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1087.34
2012,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,914.64
2012,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,246.97
2013,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2313.52
2013,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1457.98
2013,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,846.91
2013,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,385.77
2014,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2226.90
2014,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1446.00
2014,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1094.29
2014,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,520.26
2015,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2178.50
2015,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1437.84
2015,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,914.20
2015,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,587.31
2016,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2278.85
2016,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1523.15
2016,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,981.55
2016,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,686.09
2017,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2255.70
2017,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1497.29
2017,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,951.07
2017,Q4 Jun-Aug,Feed and residual use,Corn,United States,Million bushels,600.24
2018,Q1 Sep-Nov,Feed and residual use,Corn,United States,Million bushels,2285.98
2018,Q2 Dec-Feb,Feed and residual use,Corn,United States,Million bushels,1194.80
2018,Q3 Mar-May,Feed and residual use,Corn,United States,Million bushels,1113.62
