Program,Year,Period,Geo Level,State,State ANSI,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (50,000 TO 99,999 $)","587,680",30
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (500,000 TO 999,999 $)","9,654,254",16.3
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (LESS THAN 1,000 $)","13,981",52.5
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (1,000 TO 2,499 $)","13,857",35.6
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (1,000,000 OR MORE $)","20,475,626",1.3
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (10,000 TO 24,999 $)","247,192",71.3
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (100,000 TO 249,999 $)","2,113,531",39.5
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (2,500 TO 4,999 $)","30,369",24.7
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (25,000 TO 49,999 $)","396,826",21.5
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (250,000 TO 499,999 $)","5,115,862",41.8
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (5,000 TO 9,999 $)","56,718",34.7
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (50,000 TO 99,999 $)","584,731",30.7
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (500,000 TO 999,999 $)","9,667,583",16
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (LESS THAN 1,000 $)","15,950",47.1
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),"27,427,866",9.7
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),"264,450",54
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),"9,450",3.1
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),"105,514",11.6
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),"7,597,165",14.1
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11192),"3,045,398",32.6
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),"4,551,767",11
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),"704,053",11.6
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212), (D),(D)
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),"70,620",(H)
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),"2,315,871",10.4
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1124), (D),(D)
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1125 & 1129),"193,585",87.3
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)","3,563,395",26.4
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD))","83,099",2.3
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, (EXCL FAMILY HELD), LE 10 STOCKHOLDERS)","83,099",2.3
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)","3,480,296",27
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)", (D),(D)
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","18,514,233",13.7
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)","680,064",17.2
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)","15,960,553",5.5
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)","14,374,388",5.7
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",PRODUCERS,PRODUCERS: (1 PRODUCERS),"16,267,248",14.1
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",PRODUCERS,PRODUCERS: (2 PRODUCERS),"12,008,344",15.2
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",PRODUCERS,PRODUCERS: (3 TO 4 PRODUCERS),"8,570,271",3.4
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",PRODUCERS,PRODUCERS: (5 OR MORE PRODUCERS),"1,872,382",2.2
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TENURE,TENURE: (FULL OWNER),"2,859,232",16.3
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TENURE,TENURE: (PART OWNER),"29,595,510",9.8
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TENURE,TENURE: (TENANT),"6,263,503",7.7
CENSUS,2017,YEAR,STATE,ALABAMA,1,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TOTAL,NOT SPECIFIED,"38,718,245",8.3
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA HARVESTED,"AREA HARVESTED: (1,000 OR MORE ACRES)","4,406,394",11.6
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA HARVESTED,AREA HARVESTED: (1.0 TO 14.9 ACRES),"6,539",80.1
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA HARVESTED,AREA HARVESTED: (100 TO 249 ACRES),"590,677",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA HARVESTED,AREA HARVESTED: (15.0 TO 24.9 ACRES), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA HARVESTED,AREA HARVESTED: (25.0 TO 49.9 ACRES),"15,328",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA HARVESTED,AREA HARVESTED: (250 TO 499 ACRES),"1,193,446",38.2
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA HARVESTED,AREA HARVESTED: (50.0 TO 99.9 ACRES),"58,348",42.2
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA HARVESTED,AREA HARVESTED: (500 TO 999 ACRES), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)","1,262,618",38.3
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),"13,302",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),"4,368",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),"270,000",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)","4,520,652",11.3
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),"474,132",49
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES),"10,153",66.4
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (1,000 TO 2,499 $)", (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (1,000,000 OR MORE $)","5,534,426",12.8
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (100,000 TO 249,999 $)","318,102",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (2,500 TO 4,999 $)","3,328",94.3
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (25,000 TO 49,999 $)","14,457",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (5,000 TO 9,999 $)","3,822",98
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (50,000 TO 99,999 $)","9,334",72.2
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (500,000 TO 999,999 $)","714,191",23.3
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ECONOMIC CLASS,"ECONOMIC CLASS: (LESS THAN 1,000 $)", (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (1,000 TO 2,499 $)", (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (1,000,000 OR MORE $)","5,131,498",10.8
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (100,000 TO 249,999 $)","318,102",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (2,500 TO 4,999 $)","3,328",94.3
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (25,000 TO 49,999 $)","14,457",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (5,000 TO 9,999 $)","3,822",98
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (50,000 TO 99,999 $)","9,334",72.2
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (500,000 TO 999,999 $)","1,117,119",40.6
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",FARM SALES,"FARM SALES: (LESS THAN 1,000 $)", (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),"4,868,411",19.4
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),"2,890",(H)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),"881,522",52.4
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11192),"93,119",0.6
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),"788,403",58.6
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION)","1,359,134",39.1
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD)","1,359,134",39.1
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, CORPORATION, FAMILY HELD, LE 10 STOCKHOLDERS)","1,359,134",39.1
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, FAMILY & INDIVIDUAL)","4,617,963",16.5
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, INSTITUTIONAL & RESEARCH & RESERVATION & OTHER)", (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP)", (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",ORGANIZATION,"ORGANIZATION: (TAX PURPOSES, PARTNERSHIP, REGISTERED UNDER STATE LAW)", (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",PRODUCERS,PRODUCERS: (1 PRODUCERS),"1,960,319",39.1
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",PRODUCERS,PRODUCERS: (2 PRODUCERS),"3,697,515",13.8
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",PRODUCERS,PRODUCERS: (3 TO 4 PRODUCERS), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",PRODUCERS,PRODUCERS: (5 OR MORE PRODUCERS), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TENURE,TENURE: (FULL OWNER), (D),(D)
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TENURE,TENURE: (PART OWNER),"5,825,610",16.7
CENSUS,2017,YEAR,STATE,ARIZONA,4,CORN,"CORN, GRAIN - PRODUCTION, MEASURED IN BU",TENURE,TENURE: (TENANT), (D),(D)
