Program,Year,Period,Geo Level,State,Commodity,Data Item,Domain,Domain Category,Value
SURVEY,2018,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"433,622,000"
SURVEY,2018,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"393,318,000"
SURVEY,2018,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"40,304,000"
SURVEY,2018,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"472,912,000"
SURVEY,2018,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"428,916,000"
SURVEY,2018,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"43,996,000"
SURVEY,2018,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"445,323,000"
SURVEY,2018,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"405,732,000"
SURVEY,2018,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"39,591,000"
SURVEY,2018,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"470,404,000"
SURVEY,2018,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"430,324,000"
SURVEY,2018,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"40,080,000"
SURVEY,2018,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"462,740,000"
SURVEY,2018,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"421,463,000"
SURVEY,2018,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"41,277,000"
SURVEY,2018,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"481,320,000"
SURVEY,2018,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"438,081,000"
SURVEY,2018,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"43,239,000"
SURVEY,2018,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"483,374,000"
SURVEY,2018,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"441,043,000"
SURVEY,2018,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"42,331,000"
SURVEY,2018,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"449,288,000"
SURVEY,2018,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"410,966,000"
SURVEY,2018,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"38,322,000"
SURVEY,2018,OCT,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"461,883,000"
SURVEY,2018,OCT,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"418,645,000"
SURVEY,2018,OCT,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"43,238,000"
SURVEY,2018,NOV,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"454,533,000"
SURVEY,2018,NOV,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"413,191,000"
SURVEY,2018,NOV,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"41,342,000"
SURVEY,2018,DEC,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"461,644,000"
SURVEY,2018,DEC,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"418,029,000"
SURVEY,2018,DEC,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"43,615,000"
SURVEY,2017,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"5,493,881,000"
SURVEY,2017,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"4,934,449,000"
SURVEY,2017,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"559,432,000"
SURVEY,2017,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"473,641,000"
SURVEY,2017,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"424,269,000"
SURVEY,2017,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"49,372,000"
SURVEY,2017,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"423,574,000"
SURVEY,2017,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"382,460,000"
SURVEY,2017,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"41,114,000"
SURVEY,2017,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"460,383,000"
SURVEY,2017,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"413,733,000"
SURVEY,2017,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"46,650,000"
SURVEY,2017,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"432,752,000"
SURVEY,2017,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"385,608,000"
SURVEY,2017,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"47,144,000"
SURVEY,2017,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"452,966,000"
SURVEY,2017,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"406,016,000"
SURVEY,2017,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"46,950,000"
SURVEY,2017,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"436,651,000"
SURVEY,2017,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"390,607,000"
SURVEY,2017,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"46,044,000"
SURVEY,2017,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"454,757,000"
SURVEY,2017,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"412,276,000"
SURVEY,2017,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"42,481,000"
SURVEY,2017,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"480,154,000"
SURVEY,2017,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"431,445,000"
SURVEY,2017,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"48,709,000"
SURVEY,2017,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"445,534,000"
SURVEY,2017,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"399,974,000"
SURVEY,2017,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"45,560,000"
SURVEY,2017,OCT,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"470,091,000"
SURVEY,2017,OCT,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"419,009,000"
SURVEY,2017,OCT,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"51,082,000"
SURVEY,2017,NOV,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"475,665,000"
SURVEY,2017,NOV,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"429,123,000"
SURVEY,2017,NOV,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"46,542,000"
SURVEY,2017,DEC,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"487,713,000"
SURVEY,2017,DEC,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"439,929,000"
SURVEY,2017,DEC,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"47,784,000"
SURVEY,2016,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"5,289,181,000"
SURVEY,2016,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"4,734,762,000"
SURVEY,2016,YEAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"554,419,000"
SURVEY,2016,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"444,036,000"
SURVEY,2016,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"397,028,000"
SURVEY,2016,JAN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"47,008,000"
SURVEY,2016,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"420,937,000"
SURVEY,2016,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"377,530,000"
SURVEY,2016,FEB,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"43,407,000"
SURVEY,2016,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"438,381,000"
SURVEY,2016,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"390,918,000"
SURVEY,2016,MAR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"47,463,000"
SURVEY,2016,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"400,731,000"
SURVEY,2016,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"358,391,000"
SURVEY,2016,APR,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"42,340,000"
SURVEY,2016,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"425,684,000"
SURVEY,2016,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"379,474,000"
SURVEY,2016,MAY,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"46,210,000"
SURVEY,2016,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"427,558,000"
SURVEY,2016,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"382,797,000"
SURVEY,2016,JUN,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"44,761,000"
SURVEY,2016,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"456,422,000"
SURVEY,2016,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"408,504,000"
SURVEY,2016,JUL,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"47,918,000"
SURVEY,2016,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"458,357,000"
SURVEY,2016,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"411,406,000"
SURVEY,2016,AUG,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"46,951,000"
SURVEY,2016,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"435,220,000"
SURVEY,2016,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"388,472,000"
SURVEY,2016,SEP,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (WET MILL PLANT),"46,748,000"
SURVEY,2016,OCT,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TOTAL,NOT SPECIFIED,"455,819,000"
SURVEY,2016,OCT,NATIONAL,US TOTAL,CORN,"CORN, FOR FUEL ALCOHOL - USAGE, MEASURED IN BU",TYPE OF OPERATION,TYPE OF OPERATION: (DRY MILL PLANT),"407,491,000"
